coin,timestamp,price,market_cap,volume,price_change_24h,price_change_percentage_24h
bitcoin,2024-07-01,62734.39383945474,1236676710888.4822,17373592048.120487,,
bitcoin,2024-07-02,62819.82226921849,1238799172479.871,25573074910.68969,85.42842976375687,0.1361747911080149
bitcoin,2024-07-03,62042.5650371006,1222901857941.0586,18100530101.689423,-777.2572321178959,-1.2372802151316329
bitcoin,2024-07-04,60244.68076433092,1186937170314.9272,30348692427.02443,-1797.8842727696756,-2.8978238918628936
bitcoin,2024-07-05,57189.17412408636,1130121668991.0515,43112005394.93119,-3055.506640244559,-5.071828087524091
bitcoin,2024-07-06,56739.86285107204,1118490666778.4585,60081357583.2773,-449.3112730143257,-0.7856579149743121
bitcoin,2024-07-07,58230.4841542266,1147176330416.144,21293913670.91997,1490.621303154563,2.627114744826
bitcoin,2024-07-08,55880.3753776708,1100452083927.7026,20211914621.326435,-2350.108776555797,-4.035873667701965
bitcoin,2024-07-09,56665.14073352028,1117615464651.686,41614266908.30467,784.7653558494712,1.4043666502695955
bitcoin,2024-07-10,57988.30351208401,1144794688186.9604,28413854577.26276,1323.162778563732,2.3350560175720427
bitcoin,2024-07-11,57704.20228446288,1139350681822.5857,25987656347.278587,-284.10122762113315,-0.4899285035333551
bitcoin,2024-07-12,57388.19247916668,1130276546536.143,29196653598.752663,-316.00980529619846,-0.5476374211679997
bitcoin,2024-07-13,57899.28895749592,1141567375406.1943,25504482306.19897,511.09647832924384,0.8905951838695467
bitcoin,2024-07-14,59152.71913887286,1168371787725.7102,16765547593.243273,1253.4301813769416,2.164845551552609
bitcoin,2024-07-15,60942.32773996293,1204059167828.704,21295520563.65442,1789.608601090069,3.0254037804899623
bitcoin,2024-07-16,64835.48973321571,1277806993830.5176,37810068492.86247,3893.161993252783,6.388272548210924
bitcoin,2024-07-17,65162.23625234354,1284899538175.1812,40914441633.09575,326.7465191278243,0.503962444754126
bitcoin,2024-07-18,64136.31384360687,1266016458007.3477,33459451713.593426,-1025.9224087366674,-1.5744125244010028
bitcoin,2024-07-19,63959.56900809379,1261456293182.2588,25976148878.63216,-176.7448355130764,-0.2755768533003934
bitcoin,2024-07-20,66689.54880734957,1316147398343.7175,36994610752.230415,2729.9797992557724,4.268289861225153
