id,date,price,coin,version,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,price_diff,pct_change_1,pct_change_7,day_of_week,day_of_month,month,is_weekend,exp_moving_avg_10,volatility_10,target
1,2024-07-01,3435.32,ethereum,1,,,,,,,,,,,,,,,0,1,7,0,3435.32,,3438.01
2,2024-07-02,3438.01,ethereum,1,3435.32,,,,,,,,,,,2.6900000000000546,0.0007830420455736675,,1,2,7,0,3435.8090909090906,,3417.9
3,2024-07-03,3417.9,ethereum,1,3438.01,3435.32,,,,3430.41,10.917147063221112,,,,,-20.110000000000127,-0.005849313992687621,,2,3,7,0,3432.5528925619833,,3295.81
4,2024-07-04,3295.81,ethereum,1,3417.9,3438.01,3435.32,,,3383.906666666667,76.95368758762206,,,,,-122.09000000000015,-0.035720764211943035,,3,4,7,0,3407.6905484598046,,3069.04
5,2024-07-05,3069.04,ethereum,1,3295.81,3417.9,3438.01,,,3260.9166666666665,177.02819954270933,,,,,-226.76999999999998,-0.06880554400890826,,4,5,7,0,3346.1177214671125,,2984.4
6,2024-07-06,2984.4,ethereum,1,3069.04,3295.81,3417.9,,,3116.4166666666665,161.0200559971745,,,,,-84.63999999999987,-0.027578656517999067,,5,6,7,1,3280.350863018546,,3066.25
7,2024-07-07,3066.25,ethereum,1,2984.4,3069.04,3295.81,,,3039.896666666667,48.08176404140337,3243.8185714285714,198.64822437570143,3438.01,2984.4,81.84999999999991,0.027425948264307776,,6,7,7,1,3241.4234333788104,,2928.6
8,2024-07-08,2928.6,ethereum,1,3066.25,2984.4,3069.04,3435.32,,2993.0833333333335,69.23460719418557,3171.4300000000003,209.27490532789633,3438.01,2928.6,-137.6500000000001,-0.044891969017529565,-0.14750299826508162,0,8,7,0,3184.5464454917537,,3016.08
9,2024-07-09,3016.08,ethereum,1,2928.6,3066.25,2984.4,3438.01,,3003.6433333333334,69.66264159026117,3111.1542857142854,178.14437495630156,3417.9,2928.6,87.48000000000002,0.029870928088506554,-0.12272506479038758,1,9,7,0,3153.916182675071,,3064.09
10,2024-07-10,3064.09,ethereum,1,3016.08,2928.6,3066.25,3417.9,,3002.9233333333336,68.69649505857782,3060.61,115.93931602351269,3295.81,2928.6,48.01000000000022,0.015918012784806868,-0.10351677930893233,2,10,7,0,3137.5841494614215,202.22902368903982,3099.71
11,2024-07-11,3099.71,ethereum,1,3064.09,3016.08,2928.6,3295.81,,3059.9599999999996,41.96768876171244,3032.595714285714,59.67651488292014,3099.71,2928.6,35.61999999999989,0.011624984905795888,-0.05949978912619358,3,11,7,0,3130.6979404684353,180.24433037469512,3102.09
12,2024-07-12,3102.09,ethereum,1,3099.71,3064.09,3016.08,3069.04,,3088.6299999999997,21.285553786547123,3037.3171428571427,64.17806627249026,3102.09,2928.6,2.380000000000109,0.0007678137632229909,0.010768839767484328,4,12,7,0,3125.4964967469014,146.2053657664072,3132.98
13,2024-07-13,3132.98,ethereum,1,3102.09,3099.71,3064.09,2984.4,,3111.593333333333,18.559586022682318,3058.5428571428574,68.20360051939684,3132.98,2928.6,30.889999999999873,0.00995780264273427,0.04978555153464681,5,13,7,1,3126.85713370201,98.20556504371636,3173.5
14,2024-07-14,3173.5,ethereum,1,3132.98,3102.09,3099.71,3066.25,,3136.19,35.813057674541206,3073.8642857142863,81.05852635742913,3173.5,2928.6,40.51999999999998,0.0129333733378445,0.034977578475336335,6,14,7,1,3135.3376548470987,71.85602769117997,3252.65
15,2024-07-15,3252.65,ethereum,1,3173.5,3132.98,3102.09,2928.6,3435.32,3186.376666666667,60.86529087528768,3120.157142857143,76.68585999915129,3252.65,3016.08,79.15000000000009,0.02494091696864653,0.11065013999863416,0,15,7,0,3156.667172147626,93.56012318290323,3488.54
16,2024-07-16,3488.54,ethereum,1,3252.65,3173.5,3132.98,3016.08,3438.01,3304.896666666667,163.88970691697943,3187.651428571429,146.21323143826228,3488.54,3064.09,235.88999999999987,0.07252240480838701,0.15664703854009177,1,16,7,0,3217.0076863026025,152.41736474780873,3446.77
17,2024-07-17,3446.77,ethereum,1,3488.54,3252.65,3173.5,3064.09,3417.9,3395.986666666666,125.87785044769969,3242.32,162.90298380733563,3488.54,3099.71,-41.76999999999998,-0.011973490342664816,0.12489189286215474,2,17,7,0,3258.7826524294014,179.20048179808697,3389.44
18,2024-07-18,3389.44,ethereum,1,3446.77,3488.54,3252.65,3099.71,3295.81,3441.5833333333335,49.753177117983704,3283.71,157.34201091888863,3488.54,3102.09,-57.32999999999993,-0.016632963615210716,0.09347003429353062,3,18,7,0,3282.538533805874,169.0483676512592,3428.55
19,2024-07-19,3428.55,ethereum,1,3389.44,3446.77,3488.54,3102.09,3069.04,3421.5866666666666,29.292460349609456,3330.347142857143,142.18924592648523,3488.54,3132.98,39.11000000000013,0.011538779267371568,0.10523872614914453,4,19,7,0,3309.086073113897,164.96124513216793,3505.22
20,2024-07-20,3505.22,ethereum,1,3428.55,3389.44,3446.77,3132.98,2984.4,3441.0699999999997,58.896645914687774,3383.5242857142853,124.59183853114536,3505.22,3173.5,76.66999999999962,0.022362223097227574,0.11881339810659486,5,20,7,1,3344.746787093188,166.37147319911537,3522.8
21,2024-07-21,3522.8,ethereum,1,3505.22,3428.55,3389.44,3173.5,3066.25,3485.523333333333,50.11720895394617,3433.4242857142854,92.19202005544895,3522.8,3252.65,17.580000000000382,0.005015377066204252,0.11006774854261869,6,21,7,1,3377.1200985307896,162.99032856106487,3533.12
22,2024-07-22,3533.12,ethereum,1,3522.8,3505.22,3428.55,3252.65,2928.6,3520.3799999999997,14.106551669356255,3473.491428571429,53.257977314376014,3533.12,3389.44,10.319999999999709,0.002929487907346262,0.08622815242955739,0,22,7,0,3405.483716979737,148.1519122050045,3443.07
23,2024-07-23,3443.07,ethereum,1,3533.12,3522.8,3505.22,3488.54,3016.08,3499.6633333333334,49.282143148746236,3466.9957142857143,53.885861737914475,3533.12,3389.44,-90.04999999999973,-0.02548738791776095,-0.013034105958366515,1,23,7,0,3412.3175866197844,118.4725009067945,3482.98
24,2024-07-24,3482.98,ethereum,1,3443.07,3533.12,3522.8,3446.77,3064.09,3486.39,45.12174309576437,3472.1685714285713,53.35607632643091,3533.12,3389.44,39.909999999999854,0.011591399535879177,0.010505487746498954,2,24,7,0,3425.16529814346,82.29987528004138,3336.38
25,2024-07-25,3336.38,ethereum,1,3482.98,3443.07,3533.12,3389.44,3099.71,3420.81,75.79261639500281,3464.588571428572,68.64589097403125,3533.12,3336.38,-146.5999999999999,-0.04209039385813296,-0.015654503398791486,3,25,7,0,3409.0225166628306,61.766327944738805,3173.76
26,2024-07-26,3173.76,ethereum,1,3336.38,3482.98,3443.07,3428.55,3102.09,3331.0400000000004,154.6791479159356,3428.19,130.56418434368916,3533.12,3173.76,-162.6199999999999,-0.04874145031441257,-0.07431421446384034,4,26,7,0,3366.247513633225,107.54311915071999,3278.19
